#{"t_start": 1648471049.955566, "env_id": "CarRacing-v0"}
r,l,t
254.83871,1000,11.377001
178.481013,1000,18.76
362.328767,1000,26.191001
300.696864,1000,33.462005
110.365854,1000,40.899999
76.470588,1000,48.493043
334.306569,1000,56.06856
176.923077,1000,63.263559
131.270358,1000,71.458558
435.714286,1000,79.265558
175.080906,1000,87.071558
401.886792,1000,94.532055
-40.0,1000,101.607056
219.852941,1000,109.833088
-74.452555,1000,117.644602
212.727273,1000,125.048602
134.323432,1000,132.711154
-1.023891,1000,141.177927
41.891892,1000,148.732927
-24.187726,1000,155.429928
-0.0,1000,163.539439
528.571429,1000,170.808438
526.712329,1000,178.56547
-13.621262,1000,185.89847
218.181818,1000,193.068471
305.063291,1000,201.09447
-23.636364,1000,208.414982
235.548173,1000,216.775509
51.724138,1000,223.9296
161.324042,1000,231.162599
117.522659,1000,238.396116
12.318841,1000,245.741117
458.303887,1000,253.329122
123.27044,1000,260.397154
470.934256,1000,267.495152
219.86532,1000,275.105666
657.575758,1000,282.352686
130.0,1000,289.873689
81.538462,1000,297.924692
223.717949,1000,305.376215
444.262295,1000,312.195215
201.694915,1000,318.83822
135.714286,1000,326.616215
31.147541,1000,334.022215
74.377224,1000,340.857214
12.318841,1000,347.353214
139.747634,1000,353.931745
-15.824916,1000,360.846255
83.279743,1000,367.932772
41.221374,1000,374.952773
700.813008,1000,381.916771
32.575758,1000,389.114772
405.454545,1000,396.690293
230.882353,1000,404.312501
113.793103,1000,411.912501
17.845118,1000,420.031503
186.245353,1000,427.569503
341.176471,1000,434.583506
142.424242,1000,441.780502
-15.194346,1000,448.871539
255.633803,1000,456.152049
161.484099,1000,463.463048
530.508475,1000,470.576091
472.916667,1000,477.698412
139.747634,1000,484.914411
115.189873,1000,492.125411
181.355932,1000,499.212411
147.588424,1000,506.610439
258.803987,1000,513.809954
-17.355372,1000,520.805992
155.597087,746,526.156513
364.539007,1000,533.242511
14.624506,1000,540.163513
-19.58042,1000,547.317053
134.567901,1000,554.502035
115.547703,1000,561.516554
207.94702,1000,568.763073
14.068441,1000,575.795106
175.735294,1000,582.872107
-6.832298,1000,590.10142
503.636364,1000,598.689422
56.25,1000,605.785935
8.474576,1000,612.863936
89.655172,1000,619.886939
113.414634,1000,627.084936
182.312925,1000,634.152936
121.804511,1000,641.217481
173.049645,1000,648.148
59.159159,1000,655.255997
382.352941,1000,662.081514
-16.149068,1000,669.127516
-27.868852,1000,676.073518
298.496241,1000,683.023513
295.498392,1000,690.049513
142.320819,1000,696.991034
192.929293,1000,704.077036
84.300341,1000,711.28897
304.929577,1000,718.493502
446.075085,1000,727.823504
375.352113,1000,734.678502
184.789644,1000,741.724425
304.040404,1000,749.004427
-80.769231,1000,755.915426
220.987654,1000,762.868943
186.173633,1000,769.868462
266.242038,1000,777.196507
549.446494,1000,784.775494
110.0,1000,791.867494
174.576271,1000,798.635496
315.224913,1000,805.358496
439.325843,1000,812.249496
292.638037,1000,819.167531
227.974277,1000,826.233778
214.285714,1000,833.160776
586.41115,1000,840.469289
253.535354,1000,847.794806
252.059925,1000,854.756888
21.863799,1000,861.827403
109.836066,1000,869.091407
253.896104,1000,876.398441
212.5,1000,883.534441
403.378378,1000,890.621957
-68.627451,1000,897.595005
353.333333,1000,904.75953
213.291139,1000,912.006529
205.555556,1000,919.207529
259.15493,1000,927.027044
262.637363,1000,934.867042
157.053292,1000,942.266043
-70.684039,1000,949.47356
119.354839,1000,956.80511
173.88535,1000,963.835112
484.229391,1000,971.047117
179.141104,1000,978.358624
-70.0,1000,985.546136
260.230548,1000,992.949137
189.808917,1000,1000.159655
226.996198,1000,1007.207656
484.459459,1000,1014.546659
-74.025974,1000,1021.62567
-16.363636,1000,1028.823656
198.932384,1000,1035.855711
36.882129,1000,1042.972712
373.309609,1000,1050.140712
239.483395,1000,1057.395234
-5.797101,1000,1064.369264
141.042345,1000,1071.603726
-68.085106,1000,1078.613283
134.65704,1000,1085.680286
341.176471,1000,1092.808801
149.180328,1000,1100.045799
228.185328,1000,1107.108307
58.249158,1000,1114.19682
53.594771,1000,1121.408342
11.842105,1000,1128.507853
317.241379,1000,1135.562854
185.714286,1000,1142.729851
190.849673,1000,1150.002854
273.188406,1000,1157.107887
-17.602996,1000,1164.008887
112.624585,1000,1171.229886
-35.897436,1000,1178.453924
116.718266,1000,1185.671923
79.054054,1000,1192.904991
216.151203,1000,1199.951123
328.571429,1000,1207.174123
250.769231,1000,1214.503635
135.483871,1000,1221.744636
292.971246,1000,1228.965151
240.782123,1000,1236.374671
319.014085,1000,1243.410676
351.612903,1000,1250.670673
125.255973,1000,1257.891672
279.084967,1000,1265.134671
29.496403,1000,1272.409674
317.682927,1000,1279.639672
312.337662,1000,1286.860188
221.428571,1000,1294.04619
342.028986,1000,1301.265188
363.50365,1000,1308.487265
135.494881,1000,1315.468266
203.333333,1000,1322.774265
294.833948,1000,1330.090265
226.007326,1000,1337.320781
379.310345,1000,1344.369297
318.439716,1000,1351.497836
386.577181,1000,1358.786839
446.075085,1000,1366.086835
170.547945,1000,1373.225838
0.977199,1000,1380.409835
316.382253,1000,1387.698347
551.639344,1000,1394.722349
116.666667,1000,1401.809403
260.248447,1000,1409.002917
104.402516,1000,1416.228431
130.496454,1000,1423.360948
-11.764706,1000,1430.487947
13.138686,1000,1437.599188
116.216216,1000,1444.908705
250.16835,1000,1452.047739
176.426752,931,1458.818707
282.978723,1000,1465.904733
155.395683,1000,1473.026775
216.0,1000,1479.966774
150.0,1000,1487.308772
244.051447,1000,1494.399776
306.040268,1000,1501.452286
267.491166,1000,1508.512332
164.150943,1000,1515.44185
183.154122,1000,1522.984849
38.790036,1000,1530.66485
141.496599,1000,1538.269851
-39.597315,1000,1545.416849
-10.931174,1000,1552.431849
-0.662252,1000,1559.582005
504.240283,1000,1566.676006
206.451613,1000,1574.03552
253.35689,1000,1581.080521
94.852941,1000,1588.155035
266.242038,1000,1595.351549
603.296703,1000,1602.496575
209.375,1000,1609.651093
9.265147,309,1611.993091
651.824818,1000,1619.081092
-30.501931,1000,1626.265106
345.512821,1000,1633.54963
266.300366,1000,1640.610631
126.299694,1000,1647.926677
18.902439,1000,1655.206677
0.977199,1000,1662.400676
372.145985,681,1667.200677
357.364341,1000,1674.094244
307.894737,1000,1681.200253
317.508418,1000,1688.411252
573.202614,1000,1695.602765
313.669065,1000,1702.68993
319.928826,1000,1709.705451
116.129032,1000,1716.946486
25.475285,1000,1723.955519
340.0,1000,1730.978517
-28.315412,1000,1737.95752
234.394904,1000,1745.266042
-32.307692,1000,1752.529038
501.449275,1000,1759.628556
278.947368,1000,1766.581555
332.176656,1000,1773.819593
230.882353,1000,1780.960597
445.098039,1000,1789.507596
-20.382166,1000,1797.629595
245.637584,1000,1805.673595
143.346008,1000,1813.040594
556.462585,1000,1820.532593
190.780142,1000,1827.953599
528.289474,1000,1837.403596
342.105263,1000,1845.409595
102.657807,1000,1852.625594
188.288288,1000,1860.16711
202.583026,1000,1867.85211
133.449477,1000,1875.892354
328.571429,1000,1883.043354
154.416961,1000,1889.994354
433.807829,1000,1896.929354
134.567901,1000,1904.019353
-26.984127,1000,1910.954355
357.564576,1000,1917.907898
6.382979,1000,1924.873897
208.571429,1000,1931.915898
314.545455,1000,1939.080896
127.106227,1000,1945.926898
342.307692,1000,1953.070016
241.085271,1000,1960.05208
176.923077,1000,1967.363103
127.891156,1000,1974.480141
387.455197,1000,1981.607141
149.122807,1000,1988.797658
290.879479,1000,1995.99666
-48.630137,1000,2003.169659
-83.240223,1000,2010.552657
301.384083,1000,2017.728178
-78.571429,1000,2024.72824
422.796353,1000,2031.969238
120.0,1000,2039.214239
38.059701,1000,2046.277238
-56.6787,1000,2053.392324
165.517241,1000,2060.335839
207.420495,1000,2067.52784
122.641509,1000,2074.680353
464.102564,1000,2081.777352
363.157895,1000,2088.889352
270.0,1000,2095.933354
31.313131,1000,2103.195353
-57.142857,1000,2110.188354
291.437309,1000,2117.450414
433.568905,1000,2126.057929
535.036496,1000,2133.99393
14.754098,1000,2140.811929
-53.736655,1000,2148.12693
-24.836601,1000,2156.75993
352.10728,1000,2164.339928
-14.965986,1000,2172.132931
244.129555,1000,2179.314929
-66.789668,1000,2187.054929
70.491803,1000,2195.560929
223.943662,1000,2202.701932
168.456376,1000,2209.907447
348.979592,1000,2217.043003
-80.392157,1000,2224.257529
73.611111,1000,2231.402045
4.956268,1000,2238.873045
292.226148,1000,2246.006046
171.777003,1000,2253.029603
-77.777778,1000,2260.0596
119.047619,1000,2267.275115
278.571429,1000,2274.443118
207.453416,1000,2281.717148
7.142857,1000,2288.919257
329.065744,1000,2296.042807
127.424749,1000,2303.189324
167.912773,1000,2310.433357
23.404255,1000,2317.469353
111.656442,1000,2324.796355
-61.165049,1000,2331.944381
105.211726,1000,2339.238947
114.559387,1000,2346.484497
257.142857,1000,2354.555086
233.333333,1000,2362.599124
-63.768116,1000,2370.159123
11.688889,273,2372.548126
-80.519481,1000,2380.793125
292.026578,1000,2388.550127
165.861027,1000,2396.556124
385.611511,1000,2404.513123
40.221402,1000,2411.997642
68.421053,1000,2419.171643
103.761755,1000,2426.504643
382.972136,1000,2433.398643
154.612546,1000,2440.736645
400.0,1000,2448.640159
102.453988,1000,2456.27868
162.411348,1000,2463.200673
-39.189189,1000,2471.117213
-37.086093,1000,2479.028799
-30.555556,1000,2486.724828
204.347826,1000,2493.880345
318.250951,1000,2501.017344
21.212121,1000,2509.026344
28.0,1000,2516.336866
-11.439114,1000,2523.957867
24.031008,1000,2531.303868
128.395062,1000,2538.9349
-62.962963,1000,2546.20857
188.194444,1000,2553.805093
427.075812,1000,2561.538095
411.864407,1000,2570.086092
207.94702,1000,2577.621088
175.766017,1000,2586.251087
186.956522,1000,2594.483088
69.354839,1000,2601.883088
-35.94306,1000,2609.805087
302.985075,1000,2617.085087
343.636364,1000,2624.350131
-19.003115,1000,2631.504646
226.732673,1000,2638.889642
517.100372,1000,2646.266645
268.243243,1000,2653.460641
98.653199,1000,2660.691661
205.263158,1000,2668.173701
336.708861,1000,2675.584215
163.492063,1000,2682.844734
-9.090909,1000,2690.19973
-49.84326,1000,2697.44573
179.883382,1000,2704.870731
-50.570342,1000,2711.881765
729.787234,1000,2718.862796
177.777778,1000,2726.920829
162.962963,1000,2735.003385
67.785235,1000,2742.235897
423.489933,1000,2749.500414
380.0,1000,2757.666412
-53.333333,1000,2765.406412
543.410853,1000,2772.623925
230.882353,1000,2779.967926
450.161812,1000,2787.318446
255.555556,1000,2794.401447
90.322581,1000,2801.802021
-18.367347,1000,2809.122575
44.694534,1000,2816.392574
127.722772,1000,2823.484576
224.675325,1000,2830.752095
89.473684,1000,2837.568095
688.0,1000,2844.469614
142.138365,1000,2851.665612
294.463668,1000,2858.770126
420.14652,1000,2865.957125
22.302158,1000,2873.365637
15.755627,1000,2880.56215
-52.229299,1000,2887.872153
398.194946,1000,2894.955149
225.878594,1000,2902.474185
-50.724638,1000,2909.710697
78.181818,1000,2917.930782
37.037037,1000,2926.837781
266.906475,1000,2935.258779
151.748252,1000,2942.218797
-26.282051,1000,2949.479812
529.893238,1000,2956.624813
87.29097,1000,2963.799813
150.83612,1000,2970.705813
219.875776,1000,2977.678813
165.780731,1000,2984.608813
375.806452,1000,2991.311812
52.173913,1000,2998.134815
441.666667,1000,3005.070336
264.864865,1000,3012.171338
240.277778,1000,3019.52234
77.21519,1000,3026.78634
226.732673,1000,3033.926851
-37.5,1000,3041.04285
278.378378,1000,3048.667852
94.078947,1000,3056.037363
188.52459,1000,3063.246363
267.549669,1000,3070.509884
35.849057,1000,3078.499408
354.545455,1000,3087.415405
121.47651,1000,3094.378405
339.344262,1000,3101.526408
124.913495,1000,3109.528405
423.972603,1000,3116.781403
